Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
Number of lines treated with Voigt profiles: 26
Number of wavelength points: 527
wave (nm)     normalized flux 
590.1546   0.998
590.1649   0.9981
590.1904   0.9982
590.2061   0.9983
590.2102   0.9981
590.2167   0.996
590.2334   0.9984
590.2434   0.9981
590.2712   0.9986
590.2783   0.9987
590.2803   0.9986
590.2859   0.9968
590.2908   0.9946
590.2936   0.995
590.2964   0.9973
590.2993   0.998
590.3021   0.9978
590.305   0.998
590.3078   0.9985
590.3106   0.9987
590.3128   0.9988
590.3161   0.9988
590.3184   0.9989
590.3233   0.9989
590.3264   0.9989
590.333   0.9989
590.3609   0.999
590.3776   0.9991
590.383   0.9991
590.3871   0.9991
590.3913   0.9991
590.4138   0.9991
590.4296   0.9991
590.4333   0.9991
590.4345   0.9991
590.4374   0.999
590.4402   0.9989
590.443   0.9985
590.4459   0.9981
590.4487   0.9981
590.4516   0.9981
590.4544   0.9983
590.4573   0.9988
590.4621   0.9991
590.4768   0.997
590.478   0.9968
590.4831   0.9956
590.4861   0.9934
590.4891   0.9853
590.4921   0.9689
590.4951   0.9564
590.4965   0.9579
590.4981   0.9646
590.5011   0.9827
590.5041   0.9919
590.507   0.9946
590.51   0.997
590.5122   0.9979
590.5146   0.998
590.5175   0.9984
590.5276   0.9983
590.5569   0.9994
590.5847   0.9992
590.6126   0.9994
590.619   0.9989
590.6466   0.9994
590.6584   0.9994
590.672   0.9994
590.6883   0.9941
590.6907   0.9947
590.6998   0.9983
590.7062   0.9935
590.7145   0.9779
590.7185   0.967
590.7222   0.9313
590.7251   0.8603
590.7279   0.7581
590.73   0.7096
590.7336   0.7423
590.7364   0.8366
590.7393   0.9208
590.7421   0.959
590.7464   0.9802
590.7563   0.9928
590.7606   0.9916
590.77   0.9935
590.7757   0.9968
590.7892   0.9968
590.7911   0.9964
590.7963   0.9948
590.7993   0.9919
590.8022   0.9813
590.8052   0.9599
590.8082   0.9436
590.8112   0.9538
