Teff 5777.0 logg 4.44 [Fe/H] 0.0 massStar 1.0 xiT 1.0 HeFe 0.0 CO 0.0 AlfFe 0.0 lineThresh -3.0 voigtThresh -3.0 lambda0 5.88e-05 lambda1 5.92e-05 logGamCol 0.5 logKapFudge 0.0 macroV 1.0 rotV 2.0 rotI 90.0 RV 0.0 nInner 2 nOuter 2 ifTiO 1 sampling fine
Number of lines treated with Voigt profiles: 27
Number of wavelength points: 546
wave (nm)     normalized flux 
589.1374   0.6279
589.1409   0.5733
589.1427   0.5367
589.1443   0.4941
589.146   0.4416
589.1477   0.3801
589.1505   0.287
589.1536   0.2213
589.1573   0.1959
589.1604   0.2088
589.1621   0.2295
589.1634   0.2523
589.1662   0.3221
589.1695   0.4406
589.1711   0.4956
589.1725   0.5415
589.174   0.5794
589.1756   0.6119
589.1807   0.6866
589.1961   0.8119
589.1988   0.8306
589.2008   0.843
589.2036   0.8524
589.2051   0.8542
589.2064   0.8526
589.2092   0.8415
589.212   0.8359
589.2148   0.8576
589.2176   0.8881
589.2204   0.9074
589.2216   0.9131
589.2232   0.9186
589.2264   0.9272
589.2279   0.9305
589.2392   0.9497
589.2416   0.9522
589.2574   0.9634
589.268   0.9697
589.2696   0.9704
589.2831   0.9755
589.2851   0.9762
589.3061   0.9833
589.3089   0.9841
589.3109   0.9847
589.3122   0.9849
589.3178   0.9858
589.3216   0.9862
589.3355   0.9873
589.3407   0.9878
589.3444   0.9881
589.3495   0.9885
589.3547   0.9888
589.3598   0.9889
589.365   0.9891
589.3702   0.9898
589.3753   0.9905
589.3805   0.9909
589.3856   0.9881
589.391   0.9865
589.3928   0.9874
589.3945   0.9895
589.3991   0.992
589.4201   0.9847
589.4309   0.9799
589.4345   0.9662
589.4379   0.9476
589.4393   0.9353
589.4421   0.8971
589.4449   0.8085
589.4477   0.6906
589.4505   0.6428
589.4533   0.6963
589.4561   0.8224
589.4589   0.9197
589.4617   0.9618
589.4629   0.9714
589.4665   0.9827
589.4717   0.9864
589.4737   0.9886
589.4809   0.9915
589.4872   0.9917
589.4917   0.9911
589.4943   0.9914
589.4969   0.9922
589.4995   0.9929
589.5022   0.9931
589.5048   0.9933
589.5074   0.9934
589.51   0.9935
589.5127   0.9936
589.5172   0.9936
589.5307   0.9934
